XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
,FAN MADE FITS,Declined,Jeff Fuhr,"HRSUB - JJAMS, INC",6/28/2022 1:49:25 PM,,,6/28/2022 1:49:25 PM,6/28/2022 2:01:32 PM,6/30/2022 3:31:10 PM,
,HAIR TRANSPLANT NETWORK,Pending,Howard Goldstein,"ETC Holdings, LLC",6/28/2022 1:41:04 PM,,,6/28/2022 1:41:04 PM,6/28/2022 2:12:39 PM,,
554402000691832,Optic-Kleer OKC Metro North,Approved,Debra   Holt,Enhanced House Accounts,6/28/2022 1:31:12 PM,6/28/2022 4:35:39 PM,,6/28/2022 1:31:12 PM,6/28/2022 1:39:41 PM,,
554402050039312,CARMICHAEL'S ENTERTAINMENT CENTER,Approved,Nevada Coastal,Nevada Coastal,6/28/2022 1:09:16 PM,6/30/2022 9:41:10 AM,,6/28/2022 1:09:16 PM,6/28/2022 2:52:02 PM,,
,DLM PERFORMANCE OFF ROAD,Pending,Robby Richardson,Robby Richardson,6/28/2022 1:07:25 PM,,,6/28/2022 1:07:25 PM,6/28/2022 1:18:06 PM,,
56310000007730,AUTO WORKS OF EAST TEXAS,Approved,Amy Morin,Amy Morin,6/28/2022 12:48:42 PM,6/29/2022 5:18:04 PM,,6/28/2022 12:48:42 PM,6/29/2022 1:30:29 PM,,
,Deal Chop,Pending,Franco Morrone,"VERRYWEST ENTERPRISES, LLC/ERIK VERRYDEN",6/28/2022 12:40:38 PM,,,6/28/2022 12:40:38 PM,6/28/2022 12:45:11 PM,,
,MARKET PLAZA SHOPS BUENDIA,Cancelled,Enrique Jimenez,Enrique Jimenez,6/28/2022 12:40:13 PM,,,6/28/2022 12:40:13 PM,6/28/2022 1:51:24 PM,,
,JJ Asian Massage,Declined,Wendy Chen,Universal General CDP,6/28/2022 12:29:44 PM,,,6/28/2022 12:29:44 PM,6/28/2022 12:29:44 PM,6/28/2022 4:00:25 PM,
554402050039130,BUCKS PLACE,Approved,Billy Mccarrell,Billy McCarrell,6/28/2022 12:27:58 PM,6/28/2022 6:08:23 PM,,6/28/2022 12:27:58 PM,6/28/2022 2:57:04 PM,,
8739299330302163,CHARLUNA DIVA'S HAIR SALON,Approved,Wilfredo  Leguisamon,Wilfredo Leguisamon,6/28/2022 12:23:41 PM,6/29/2022 5:03:29 PM,,6/28/2022 12:23:41 PM,6/28/2022 2:34:53 PM,,
8739297545300079,Palmers Inn,Approved,Robin Turkell,PCBancard,6/28/2022 12:19:17 PM,6/28/2022 4:04:05 PM,,6/28/2022 12:19:17 PM,6/28/2022 12:29:10 PM,,
56310000007737,heidensleektoys.xyz,Approved,891 5339,8915339,6/28/2022 12:10:55 PM,6/30/2022 10:08:59 AM,,6/28/2022 12:10:55 PM,6/28/2022 12:32:14 PM,,
,BASEMENT SOLUTIONS,Under Review,Anthony Bilotti,Anthony Bilotti American 6.19,6/28/2022 12:06:47 PM,,,6/28/2022 12:06:47 PM,6/28/2022 2:04:56 PM,,
,Salmen Tech Co,Pending,Tonya Futrell,Enhanced Payment Systems LLC,6/28/2022 12:00:55 PM,,,6/28/2022 12:00:55 PM,6/28/2022 12:23:30 PM,,
,dahlylakindesttrim.network,Pending,Seth Proper,HRSS - MerchantX LLC,6/28/2022 11:59:45 AM,,,6/28/2022 11:59:45 AM,6/28/2022 12:05:19 PM,,
554402000691816,Sharp Typesetting & Graphic,Approved,Debra   Holt,Enhanced House Accounts,6/28/2022 11:57:55 AM,6/28/2022 3:43:30 PM,,6/28/2022 11:57:55 AM,6/28/2022 12:04:11 PM,,
8739298800300815,dahlylakindest.website,Approved,Seth Proper,HRSS - MerchantX LLC,6/28/2022 11:50:43 AM,6/30/2022 1:13:56 PM,,6/28/2022 11:50:43 AM,6/28/2022 11:56:28 AM,,
8739299330302154,THE CLOUD,Approved,Tiffany Kenison,Tiffany Kenison,6/28/2022 11:47:46 AM,6/29/2022 9:17:27 AM,,6/28/2022 11:47:46 AM,6/28/2022 2:41:05 PM,,
554402050039148,LESLIE'S HAIR SALON,Approved,Luis Aguilar,Luis Aguilar,6/28/2022 11:46:10 AM,6/28/2022 6:11:15 PM,,6/28/2022 11:46:10 AM,6/28/2022 3:11:10 PM,,
554402004111886,FOUR SEASONS CLEANERS,Approved,Living Stone,Living Stone,6/28/2022 11:41:10 AM,6/28/2022 4:21:16 PM,,6/28/2022 11:41:10 AM,6/28/2022 1:51:14 PM,,
8739299330302148,HAPPY BEE FLOWERS & GIFTS,Approved,Jen Herd,Jen Herd,6/28/2022 11:41:01 AM,6/28/2022 5:26:13 PM,,6/28/2022 11:41:01 AM,6/28/2022 11:53:44 AM,,
8739298800300816,dahlylafast.cloud,Approved,Seth Proper,HRSS - MerchantX LLC,6/28/2022 11:38:35 AM,6/30/2022 2:56:34 PM,,6/28/2022 11:38:35 AM,6/28/2022 11:48:30 AM,,
554402000692137,Karter's Kloset,Approved,Jessica Volz,Banc Card of America,6/28/2022 11:34:50 AM,6/30/2022 3:29:04 PM,,6/28/2022 11:34:50 AM,6/30/2022 10:26:52 AM,,
,Skydive Philly,Under Review,Franz Gerschwiler,Burble,6/28/2022 11:26:50 AM,,,6/28/2022 11:26:50 AM,6/28/2022 11:26:50 AM,,
,Tacos Baleadas,Draft,Tyler Johnson,Tyler Johnson,6/28/2022 11:16:04 AM,,,6/28/2022 11:16:05 AM,,,
8739299330302144,A1 AUTOMOTIVE,Approved,JESSIE  COMPTON ,JESSIE COMPTON,6/28/2022 11:09:21 AM,6/28/2022 2:35:30 PM,,6/28/2022 11:09:21 AM,6/28/2022 11:33:28 AM,,
,babillashop.vip,Pending,Seth Proper,HRSS - MerchantX LLC,6/28/2022 10:57:27 AM,,,6/28/2022 10:57:27 AM,6/28/2022 11:02:35 AM,,
56310000007718,J & R MAHAL GROCERY,Approved,Ali Yasin,Ali Yasin,6/28/2022 10:56:27 AM,6/28/2022 4:40:03 PM,,6/28/2022 10:56:27 AM,6/28/2022 2:29:56 PM,,
56310000007723,MILLER'S FAMILY RESTAURANT,Approved,Kierstyn Repp,Kierstyn Repp,6/28/2022 10:53:02 AM,6/29/2022 2:33:30 AM,,6/28/2022 10:53:02 AM,6/28/2022 3:19:03 PM,,
,babillaradiant.me,Pending,Seth Proper,HRSS - MerchantX LLC,6/28/2022 10:51:00 AM,,,6/28/2022 10:51:00 AM,6/28/2022 10:56:12 AM,,
8739296705300072,Searchlight and Saucon Valley Auction,Approved,David Nelson,David Nelson,6/28/2022 10:46:53 AM,6/30/2022 10:33:59 AM,,6/28/2022 10:46:53 AM,6/28/2022 10:46:59 AM,,
,Custom Tint Solutions,Draft,Matt Scanlan,Matt Scanlan- 35,6/28/2022 10:41:13 AM,,,6/28/2022 10:41:13 AM,,,
,babillaadventure.bid,Pending,Seth Proper,HRSS - MerchantX LLC,6/28/2022 10:40:04 AM,,,6/28/2022 10:40:04 AM,6/28/2022 10:49:47 AM,,
,Searchlight and Saucon Valley Auction,Draft,David Nelson,David Nelson,6/28/2022 10:35:56 AM,,,6/28/2022 10:35:56 AM,,,
8739299330302142,HIBACHI NINJA EXPRESS,Approved,Harley Miller,Harley Miller,6/28/2022 10:29:49 AM,6/28/2022 12:18:48 PM,,6/28/2022 10:29:49 AM,6/28/2022 10:36:26 AM,,
56310000007751,TOMMY'S FAMOUS BURGERS,Approved,Ashley Siegel,Ashley Siegel,6/28/2022 10:27:08 AM,7/1/2022 8:45:55 AM,,6/28/2022 10:27:09 AM,6/28/2022 2:18:23 PM,,
8739299330302147,LL INDUSTRIAL TRANSMISSION INC,Approved,Courtney Kathryn,Courtney Kathryn,6/28/2022 10:12:26 AM,6/28/2022 4:59:07 PM,,6/28/2022 10:12:26 AM,6/28/2022 2:10:48 PM,,
554402050039098,SEAFOOD HEAVEN,Approved,Nikki Smith,Nikki Smith,6/28/2022 9:58:13 AM,6/28/2022 2:15:16 PM,,6/28/2022 9:58:13 AM,6/28/2022 12:44:21 PM,,
8739294100300185,FRITANGA MONIMBO PALMETTO BAY INC,Approved,Khalid Noohani,Khalid Noohani,6/28/2022 9:57:50 AM,6/29/2022 12:45:31 PM,,6/28/2022 9:57:50 AM,6/28/2022 9:59:50 AM,,
8739299330302146,ACE TRANSMISSION,Approved,Justin Lowrance,Justin Lowrance,6/28/2022 9:54:54 AM,6/28/2022 4:53:49 PM,,6/28/2022 9:54:54 AM,6/28/2022 1:47:43 PM,,
8739290600300076,"Power To Play Sports, LLC",Approved,Shane Powell,Priority Payments Denver,6/28/2022 9:36:48 AM,6/28/2022 4:51:29 PM,,6/28/2022 9:36:48 AM,6/28/2022 9:49:41 AM,,
8739299330302145,ART CRAFT STUDIO,Approved,Brandon Courtney,Brandon Courtney,6/28/2022 9:36:08 AM,6/28/2022 4:25:22 PM,,6/28/2022 9:36:08 AM,6/28/2022 12:22:33 PM,,
,Volunteer Visitation Services,Under Review,Ross Church,KickFees API,6/28/2022 9:16:18 AM,,,6/28/2022 9:16:18 AM,6/28/2022 9:16:18 AM,,
554402050039114,DJ'S CUSTOM DETAILING,Approved,Donald Mahorney,Donald Mahorney,6/28/2022 9:06:57 AM,6/28/2022 4:04:28 PM,,6/28/2022 9:06:58 AM,6/28/2022 12:13:58 PM,,
8739299330302143,BUDDY'S TIRE & SERVICE CENTER,Approved,Anabell Graziano,Anabell Graziano,6/28/2022 9:06:22 AM,6/28/2022 1:16:40 PM,,6/28/2022 9:06:22 AM,6/28/2022 10:53:38 AM,,
,Ramsanyoga.com,Pending,Seth Proper,HRSS - MerchantX LLC,6/28/2022 9:05:24 AM,,,6/28/2022 9:05:24 AM,6/28/2022 9:11:23 AM,,
,Gatorwell and Septic,Received,Matt Cleghorn,"RCJ and Associates, LLC",6/28/2022 9:02:03 AM,,,6/28/2022 9:02:03 AM,7/1/2022 2:49:14 PM,,
,Ramsansoccer.com,Pending,Seth Proper,HRSS - MerchantX LLC,6/28/2022 8:58:48 AM,,,6/28/2022 8:58:48 AM,6/28/2022 9:04:12 AM,,
,All Star Express Lube,Cancelled,Christopher Nappi,"Easy Pay, LLC",6/28/2022 8:50:26 AM,,,6/28/2022 8:50:26 AM,6/28/2022 9:42:39 AM,,
,Rasti Hemp,Pending,Jesse Cretaro,Mensch LLC,6/28/2022 8:50:24 AM,,,6/28/2022 8:50:24 AM,6/29/2022 2:58:08 PM,,
,Ramsanpower.com,Pending,Seth Proper,HRSS - MerchantX LLC,6/28/2022 8:49:53 AM,,,6/28/2022 8:49:53 AM,6/28/2022 8:57:32 AM,,
,Mynewskin8885283807,Pending,Seth Proper,HRSS - MerchantX LLC,6/28/2022 8:39:06 AM,,,6/28/2022 8:39:06 AM,6/28/2022 8:45:17 AM,,
,EYES ON HUDSON CAFE,Pending,Dren Ahmetaj,Monero Payment Solutions LLC,6/28/2022 4:01:58 AM,,,6/28/2022 4:01:59 AM,7/1/2022 5:44:04 AM,,
,Hi5 Cleaners,Pending,David Olivier,Twin Processing,6/28/2022 12:16:44 AM,,,6/28/2022 12:16:44 AM,6/29/2022 11:36:23 AM,,
,Hi5 Cleaners,Pending,David Olivier,Twin Processing,6/28/2022 12:14:59 AM,,,6/28/2022 12:14:59 AM,6/29/2022 11:36:16 AM,,
,Hi5 Cleaners,Pending,David Olivier,Twin Processing,6/28/2022 12:13:06 AM,,,6/28/2022 12:13:06 AM,6/29/2022 11:36:04 AM,,
,Hi5 Cleaners,Pending,David Olivier,Twin Processing,6/28/2022 12:10:45 AM,,,6/28/2022 12:10:45 AM,6/29/2022 11:35:54 AM,,
554402030011787,TS SPA NAILS,Approved,Dan Nguyen,Dan Nguyen (DK Mobility),6/27/2022 11:05:45 PM,6/28/2022 11:50:15 AM,,6/27/2022 11:05:45 PM,6/27/2022 11:47:33 PM,,
554402000692418,Cha Cha Cha Mexican Taqueria - Broadway,Approved,Anthony Deberry,"DeBerry Processing Solutions, LLC",6/27/2022 10:59:13 PM,7/5/2022 9:37:12 AM,,6/27/2022 10:59:14 PM,6/28/2022 11:11:01 PM,,
554402000691782,Perezz Bros,Approved,Julian Lopez,Julian Lopez,6/27/2022 8:21:03 PM,6/28/2022 3:07:40 PM,,6/27/2022 8:21:03 PM,6/27/2022 9:36:34 PM,,
554402000691790,Milan Tire & Brake,Approved,Mike Sutton,Mike Sutton,6/27/2022 6:55:05 PM,6/28/2022 3:16:58 PM,,6/27/2022 6:55:05 PM,6/28/2022 9:54:23 AM,,
56310000007715,"Trinity Glass Co., Inc.",Approved,Tiffany Chansamoeun,Convenient Payments - ISV,6/27/2022 6:39:47 PM,6/28/2022 2:18:35 PM,,6/27/2022 6:39:47 PM,6/27/2022 6:39:47 PM,,
,TAQUERIA CHIWAS,Pending,Andrea DelosSantos,Andrea DelosSantos,6/27/2022 5:51:57 PM,,,6/27/2022 5:51:57 PM,6/28/2022 10:48:00 AM,,
554402050039064,ZACH'S TOWING -WEX,Approved,Eric Ansley,Eric Ansley Jr,6/27/2022 5:39:09 PM,6/28/2022 12:41:00 PM,,6/27/2022 5:39:09 PM,6/28/2022 10:45:38 AM,,
554402050039197,IRON HORSE SALOON,Approved,Kimberly Gardner,Kimberly Gardner,6/27/2022 5:34:11 PM,6/29/2022 12:48:56 PM,,6/27/2022 5:34:11 PM,6/28/2022 10:12:27 AM,,
8739296850302559,Adelphia Seafood - West Lawn,Approved,Ryan Anderson,Ryan Anderson - Korona POS,6/27/2022 5:32:00 PM,7/1/2022 12:11:46 PM,,6/27/2022 5:32:00 PM,6/30/2022 2:07:21 PM,,
8739294150301383,Wilmette Healing Spa,Approved,Romee Liu,Romee Liu,6/27/2022 5:27:38 PM,6/29/2022 5:56:56 AM,,6/27/2022 5:27:38 PM,6/27/2022 5:27:38 PM,,
56310000007721,TEE'D UP PRINTING,Approved,Scott Herd,Scott Herd,6/27/2022 5:20:31 PM,6/29/2022 12:47:13 AM,,6/27/2022 5:20:31 PM,6/27/2022 6:01:33 PM,,
554402000691774,Flower Boutique,Approved,Hassan Rida2,Hassan Rida,6/27/2022 5:17:43 PM,6/28/2022 12:45:15 PM,,6/27/2022 5:17:44 PM,6/28/2022 9:24:05 AM,,
554402050039106,GALAXY STARS MOTORS,Approved,RAYMOND SHAIN ,RAYMOND SHIAN,6/27/2022 5:06:24 PM,6/28/2022 3:16:51 PM,,6/27/2022 5:06:24 PM,6/28/2022 10:09:30 AM,,
8739299330302152,SANTOS AUTO REPAIR - SALES,Approved,Tiffany Kenison,Tiffany Kenison,6/27/2022 5:05:22 PM,6/29/2022 4:51:29 AM,,6/27/2022 5:05:22 PM,6/27/2022 5:33:44 PM,,
8739299345300045,Ross Dental Studio,Approved,Zak N/A,Apex Payment Solutions,6/27/2022 4:58:02 PM,6/28/2022 2:23:49 PM,,6/27/2022 4:58:02 PM,6/27/2022 8:19:55 PM,,
554402000691733,VERO UOMO,Approved,Panicci Michael,Michael Panicci,6/27/2022 4:55:28 PM,6/28/2022 5:47:37 AM,,6/27/2022 4:55:28 PM,6/27/2022 5:03:05 PM,,
554402050039031,LOS PINO'S MEXICAN RESTAURANT,Approved,ALFONSO  CERRVANTES,ALFONSO CERRVANTES,6/27/2022 4:54:42 PM,6/28/2022 6:18:41 AM,,6/27/2022 4:54:42 PM,6/27/2022 5:00:10 PM,,
,GloChella LLC,Draft,Carla Raines,Proudly,6/27/2022 4:49:52 PM,,,6/27/2022 4:49:52 PM,,,
554402050039049,NO LIMIT DETAILING,Approved,Katie Greenman,Katie Greenman,6/27/2022 4:49:51 PM,6/28/2022 9:10:35 AM,,6/27/2022 4:49:51 PM,6/27/2022 5:05:14 PM,,
8739297330300346,Yankee Perfumes & More,Approved,Zee Payment,Zee Payment,6/27/2022 4:39:36 PM,6/29/2022 1:57:18 AM,,6/27/2022 4:39:36 PM,6/27/2022 4:39:36 PM,,
,RAPID BUMPER REPAIR & COLLISION,Pending,Amber Riley,Amber Riley,6/27/2022 4:38:48 PM,,,6/27/2022 4:38:48 PM,6/27/2022 5:20:33 PM,,
8739299330302150,BABY B'S,Approved,JESSIE  COMPTON ,JESSIE COMPTON,6/27/2022 4:34:14 PM,6/29/2022 3:10:42 AM,,6/27/2022 4:34:14 PM,6/27/2022 4:45:20 PM,,
8739299330302157,ELIZA FINANCIALS,Approved,Wilfredo  Leguisamon,Wilfredo Leguisamon,6/27/2022 4:31:53 PM,6/29/2022 11:55:16 AM,,6/27/2022 4:31:53 PM,6/27/2022 4:47:12 PM,,
554402040702888,CHI REFLEXOLOGY,Approved,Jing Li,Jing Li,6/27/2022 4:29:43 PM,6/29/2022 4:27:12 AM,,6/27/2022 4:29:43 PM,6/27/2022 6:41:30 PM,,
554402050039007,THAI HOT RESTAURANT,Approved,Gabriel  Grijalva,Gabriel Grijalva,6/27/2022 4:20:28 PM,6/28/2022 3:18:49 AM,,6/27/2022 4:20:28 PM,6/27/2022 4:30:44 PM,,
8739292500304459,SUNRISE ACCOUNTING & TAXATION SERVICES,Approved,Andrew Pollina,Andrew Pollina,6/27/2022 4:14:48 PM,6/28/2022 12:43:22 PM,,6/27/2022 4:14:48 PM,6/27/2022 5:05:36 PM,,
,DISCOUNT PRIDE CLEANER,Cancelled,Radjens Vilma,Radjens Vilma,6/27/2022 4:14:34 PM,,,6/27/2022 4:14:34 PM,6/27/2022 4:40:50 PM,,
,SANTOS AUTO REPAIR,Pending,Tiffany Kenison,Tiffany Kenison,6/27/2022 4:07:38 PM,,,6/27/2022 4:07:38 PM,6/27/2022 4:40:12 PM,,
,Neveria Y Antonjitos Telpaca- Doniphan (CD),Draft,Marcus Kern,BML Solutions,6/27/2022 3:54:43 PM,,,6/27/2022 3:54:43 PM,,,
554402050039015,VILLAGE PIZZA BY EMMA,Approved,Robby Richardson,Robby Richardson,6/27/2022 3:52:17 PM,6/28/2022 4:29:02 AM,,6/27/2022 3:52:17 PM,6/27/2022 4:04:49 PM,,
554402000691766,KING MIKE TOBACCO,Approved,Hani Shamout,"POS 360, INC.",6/27/2022 3:50:26 PM,6/28/2022 11:30:40 AM,,6/27/2022 3:50:26 PM,6/27/2022 4:27:16 PM,,
,Rock On Smokers,Declined,Hassan Rida2,Hassan Rida,6/27/2022 3:42:32 PM,,,6/27/2022 3:42:32 PM,6/27/2022 4:44:20 PM,6/28/2022 11:07:36 AM,
554402050039023,DEB'S PLACE,Approved,HANNAH HAMBY ,HANNAH HAMBY,6/27/2022 3:42:21 PM,6/28/2022 4:57:45 AM,,6/27/2022 3:42:21 PM,6/27/2022 3:47:47 PM,,
,Flautas Y Paleteria Telpaca -Canutillo (CD),Draft,Marcus Kern,BML Solutions,6/27/2022 3:39:39 PM,,,6/27/2022 3:39:39 PM,,,
8739299330302149,WILLSBOROUGH HARDWARE,Approved,Michel French ,Michel French,6/27/2022 3:33:17 PM,6/29/2022 1:14:54 AM,,6/27/2022 3:33:17 PM,6/27/2022 3:37:42 PM,,
554402000691865,Majestic Lash,Approved,Debra   Holt,Enhanced House Accounts,6/27/2022 3:21:50 PM,6/29/2022 2:44:18 AM,,6/27/2022 3:21:50 PM,6/27/2022 3:26:29 PM,,
,ZSPEED PERFORMANCE,Pending,CHRIS PHAM,CHRIS PHAM,6/27/2022 3:12:34 PM,,,6/27/2022 3:12:34 PM,6/27/2022 3:50:33 PM,,
,TRI CITY FAMILY RESTAURANT,Draft,Mike  Martin,Mike Martin,6/27/2022 3:07:04 PM,,,6/27/2022 3:07:04 PM,,,
554402000691931,Heat,Approved,bill espinosa,BILL ESPINOSA,6/27/2022 3:03:17 PM,6/29/2022 1:08:36 PM,,6/27/2022 3:03:18 PM,6/28/2022 4:47:53 PM,,
,Mirandas of Widener,Pending,Curt Shilling,Curt Shilling,6/27/2022 3:01:01 PM,,,6/27/2022 3:01:01 PM,6/27/2022 3:12:28 PM,,
,Kasper App,Draft,Zak N/A,Apex Payment Solutions,6/27/2022 2:57:09 PM,,,6/27/2022 2:57:09 PM,,,
8739294150301385,Rowland Postal Center,Approved,Miko Liao,Miko Liao(Yuhan Sun),6/27/2022 2:56:14 PM,6/30/2022 11:36:59 AM,,6/27/2022 2:56:14 PM,6/27/2022 2:56:14 PM,,
,MADINA MARKET,Draft,Sandra Gil-Jimenez,SGil-Jimenez,6/27/2022 2:54:05 PM,,,6/27/2022 2:54:05 PM,,,
,Cijis Auto,Draft,David Olivier,"Optimal Processing Systems, LLC",6/27/2022 2:52:35 PM,,,6/27/2022 2:52:35 PM,,,
,AJJ Direct Solutions LLC,Cancelled,Trace Wendell,"Dharma Payment, LLC",6/27/2022 2:49:13 PM,,,6/27/2022 2:49:13 PM,6/27/2022 4:34:30 PM,,
,Paul's Italian Restaurant,Pending,Robert Zimbalist,SCORE - Robert Zimbalist/CD,6/27/2022 2:46:16 PM,,,6/27/2022 2:46:16 PM,6/27/2022 3:33:10 PM,,
554402030011795,DANG'S RESTAURANT,Approved,Dan Nguyen,Dan Nguyen (DK Mobility),6/27/2022 2:45:41 PM,6/29/2022 5:54:20 PM,,6/27/2022 2:45:41 PM,6/29/2022 1:26:39 PM,,
554402000692046,STAR LEGAL SOLUTIONS INC,Approved,George Bosire,Complete Merchant Services INC,6/27/2022 2:37:29 PM,6/30/2022 9:23:00 AM,,6/27/2022 2:37:29 PM,6/27/2022 4:10:00 PM,,
8739298450300890,Mi Tierra Restaurant,Approved,Rob Johnson,Alex Baab,6/27/2022 2:22:42 PM,6/29/2022 3:37:01 PM,,6/27/2022 2:22:42 PM,6/29/2022 12:56:16 PM,,
8739299330302136,MOSHER'S TOWING,Approved,Aaron Quick,Aaron Quick,6/27/2022 2:17:04 PM,6/27/2022 4:56:33 PM,,6/27/2022 2:17:05 PM,6/27/2022 2:54:55 PM,,
,iTan Sun Spray Spa El Camino Real,Pending,Lindsey Marion,Cashback House,6/27/2022 2:03:47 PM,,,6/27/2022 2:03:47 PM,6/27/2022 3:42:34 PM,,
,Mike Topanga Inc.,Declined,Brett Erickson,Cape Payments LLC,6/27/2022 1:57:35 PM,,,6/27/2022 1:57:35 PM,6/30/2022 10:29:37 AM,7/1/2022 9:05:11 AM,
56310000007712,TRAVELER'S POST SMOKING LOUNGE,Approved,Don Hutter,Don Hutter,6/27/2022 1:47:34 PM,6/27/2022 6:20:45 PM,,6/27/2022 1:47:34 PM,6/27/2022 2:14:39 PM,,
,PADDY SHACK,Pending,Basem Sayed,Basem (Ben) Sayed,6/27/2022 1:45:58 PM,,,6/27/2022 1:45:58 PM,6/27/2022 3:31:19 PM,,
554402009789256,K&K Beauty Nail Spa,Approved,Leila Li,Leila Li,6/27/2022 1:39:49 PM,6/27/2022 5:57:57 PM,,6/27/2022 1:39:49 PM,6/27/2022 1:39:49 PM,,
,budlandz,Pending,Jesse Cretaro,Mensch LLC,6/27/2022 1:33:34 PM,,,6/27/2022 1:33:34 PM,6/28/2022 5:54:03 PM,,
8739295000300110,Skydive NEPA,Approved,Franz Gerschwiler,Burble,6/27/2022 1:18:27 PM,6/27/2022 1:28:45 PM,,6/27/2022 1:18:27 PM,6/27/2022 1:18:27 PM,,
,Huntington Fine Jewelers- Norman,Draft,Jennifer Gilchrest,Jennifer Gilchrest,6/27/2022 1:16:59 PM,,,6/27/2022 1:16:59 PM,,,
8739296600300095,El Trebol Sports Bar #2,Approved,Ryan Lockee,Consistent Growth,6/27/2022 1:12:24 PM,6/27/2022 5:31:32 PM,,6/27/2022 1:12:24 PM,6/27/2022 1:37:42 PM,,
554402002330272,Old Abes Old Time Portraits (Internet),Approved,David McKay,dharma Merchant Services,6/27/2022 1:08:45 PM,6/27/2022 5:54:27 PM,,6/27/2022 1:08:45 PM,6/27/2022 1:14:38 PM,,
554402000691675,Top O' the Morn Resort,Approved,Trace Wendell,"Dharma Payment, LLC",6/27/2022 1:07:58 PM,6/27/2022 3:48:01 PM,,6/27/2022 1:07:58 PM,6/27/2022 2:14:48 PM,,
56310000007711,PizzaAvellinos.com,Approved,Mustafa Ghulam,SCORE - Mustafa/CD,6/27/2022 1:00:28 PM,6/27/2022 6:07:35 PM,,6/27/2022 1:00:28 PM,6/27/2022 1:39:24 PM,,
56310000007709,RUIZ TRUCK TIRES,Approved,Paul Wright,Paul Wright,6/27/2022 12:48:29 PM,6/27/2022 5:31:51 PM,,6/27/2022 12:48:29 PM,6/27/2022 2:22:04 PM,,
,STATES TRANSPORTATION,Declined,Victor Lastornio,Victor Lastorino,6/27/2022 12:39:49 PM,,,6/27/2022 12:39:49 PM,6/29/2022 11:27:30 AM,6/29/2022 4:43:12 PM,
56310000007708,AFTER THE STORM AUTOWORX,Approved,Steve Giles,Steve Giles,6/27/2022 12:38:28 PM,6/27/2022 4:48:26 PM,,6/27/2022 12:38:28 PM,6/27/2022 1:21:16 PM,,
,DK AUTO & DIESEL SERVICES INC,Pending,Andrea DelosSantos,Andrea DelosSantos,6/27/2022 12:32:17 PM,,,6/27/2022 12:32:17 PM,6/27/2022 1:24:31 PM,,
56310000007707,BAILEY'S PAINT SHOP,Approved,WESLEY  SPENCER,WESLEY SPENCER,6/27/2022 12:29:17 PM,6/27/2022 3:49:13 PM,,6/27/2022 12:29:17 PM,6/27/2022 1:01:01 PM,,
8739292500304462,MICROCHIP IT SOLUTIONS,Approved,Hristos Dimitroulakos,Hristos Dimitroulakos,6/27/2022 12:29:11 PM,7/1/2022 12:19:06 PM,,6/27/2022 12:29:11 PM,6/28/2022 11:40:33 AM,6/28/2022 5:56:05 PM,
554402000692251,"JENNIFER J. FINEBERG, D.D.S., P.C.",Approved,Tonya Futrell,Kevin Oshaunessey 75,6/27/2022 12:20:48 PM,7/1/2022 10:33:35 AM,,6/27/2022 12:20:48 PM,6/27/2022 12:39:44 PM,,
8739290001300828,81 north Kitchen and tap,Approved,dan adams,Dan Adams,6/27/2022 12:17:41 PM,6/27/2022 5:52:36 PM,,6/27/2022 12:17:41 PM,6/27/2022 12:42:57 PM,,
8739294150301382,Reflexology Wellness Center,Approved,Oliver Li,Universal General,6/27/2022 12:16:13 PM,6/27/2022 2:55:09 PM,,6/27/2022 12:16:13 PM,6/27/2022 12:16:13 PM,,
8739299330302135,DISTURBING THE PEACE CUSTOM METALWORX,Approved,Andrea DelosSantos,Andrea DelosSantos,6/27/2022 12:13:28 PM,6/27/2022 4:42:07 PM,,6/27/2022 12:13:28 PM,6/27/2022 1:20:02 PM,,
,Huntington Fine Jewelers-yukon,Draft,Jennifer Gilchrest,Jennifer Gilchrest,6/27/2022 12:13:20 PM,,,6/27/2022 12:13:20 PM,,,
8739297085300494,Huntington Fine Jewelers- stillwater,Approved,Jennifer Gilchrest,Jennifer Gilchrest,6/27/2022 12:12:37 PM,6/27/2022 5:46:27 PM,,6/27/2022 12:12:37 PM,6/27/2022 2:22:38 PM,,
8739298450300895,The Lake Effect Restaurant & Lakewalk Drive In,Approved,Jill Anderson,Jill Anderson,6/27/2022 12:09:41 PM,7/1/2022 12:00:41 PM,,6/27/2022 12:09:41 PM,6/27/2022 3:43:29 PM,,
,"Heavenly Finest Deli, INC. II",Pending,GREG FABIANI,Score - JJF FABS,6/27/2022 12:06:05 PM,,,6/27/2022 12:06:05 PM,6/27/2022 12:14:32 PM,,
554402000691683,Ralph's Famous Italian Ice,Approved,Mustafa Ghulam,SCORE - Mustafa/CD,6/27/2022 12:05:58 PM,6/27/2022 4:04:36 PM,,6/27/2022 12:05:58 PM,6/27/2022 12:13:32 PM,,
554402000691691,MG Auto & Performance,Approved,Josh Dempsey,Enhanced Payment Systems LLC,6/27/2022 12:01:35 PM,6/27/2022 5:11:50 PM,,6/27/2022 12:01:35 PM,6/27/2022 12:02:49 PM,,
,"Primary Medicine Associates, LLC",Draft,Mike Davenport,Mike Davenport,6/27/2022 12:00:12 PM,,,6/27/2022 12:00:12 PM,,,
